prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,1.6,2.364,2019-02-23 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.0,0.375,2019-02-24 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,8.8,0.396,2019-02-25 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,41.8,12.353,2019-02-26 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,0.4,2.924,2019-02-27 00:00:00 UTC
1000430,RIBEIRÃO DOS COUROS - FORD,WEBSERVICE,25.4,11.581,2019-02-28 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.6,0.051,2019-02-03 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,61.8,14.214,2019-02-04 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,2.654,2019-02-05 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,46.0,16.129,2019-02-06 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.4,11.46,2019-02-07 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.068,2019-02-08 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-09 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,21.0,2.515,2019-02-12 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,8.2,7.481,2019-02-13 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.068,2019-02-14 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-15 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-16 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-17 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-20 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-21 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-22 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-23 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-24 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-25 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-26 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-27 00:00:00 UTC
1000490,RIO TAMANDUATEÍ - VILA SANTA CECILIA,WEBSERVICE,0.0,0.0,2019-02-28 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.4,0.022,2019-02-03 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,64.8,14.469,2019-02-04 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,2.11,2019-02-05 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,50.8,18.236,2019-02-06 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.2,13.065,2019-02-07 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.2,0.029,2019-02-09 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,23.2,2.953,2019-02-12 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,8.8,8.781,2019-02-13 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.408,2019-02-14 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,28.8,4.439,2019-02-15 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,90.6,39.339,2019-02-16 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,29.929,2019-02-17 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,0.4,0.019,2019-02-19 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,24.4,3.433,2019-02-20 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,32.4,20.435,2019-02-21 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,10.0,12.271,2019-02-22 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,5.0,4.133,2019-02-23 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,3.0,2.044,2019-02-24 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,17.4,2.858,2019-02-25 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,33.8,14.779,2019-02-26 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,9.8,4.246,2019-02-27 00:00:00 UTC
1000500,ORATÓRIO,WEBSERVICE,6.8,5.932,2019-02-28 00:00:00 UTC
1000510,RIO CORUMBÉ - JD. ZAÍRA,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000510,RIO CORUMBÉ - JD. ZAÍRA,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
